,ref,ref_num,img,img_num,dist,qual,mos,dist_name,ocr_algo,target,cer,cer_comp,mos_fitted_total,model_params_total,mos_comp_fitted_total,model_params_comp_total,mos_fitted_total_overall,model_params_total_overall,mos_comp_fitted_total_overall,model_params_comp_total_overall,pearson,pearson_fitted,pearson_overall,pearson_fitted_overall,spearmanr,spearmanr_fitted,spearmanr_overall,spearmanr_fitted_overall,rmse,rmse_fitted,rmse_overall,rmse_fitted_overall
1302,SCI05,5,SCI05_8_3,5,8,3,68.79594238,HEVC-SCC,ezocr,ref,0.031496062992125984,96.85039370078741,65.45396802769528,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],65.4542113136486,[963.81764719  28.2770591  203.63778471  33.52948316],57.935478317292564,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],57.93509044168954,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1303,SCI05,5,SCI05_8_4,5,8,4,64.7813025,HEVC-SCC,ezocr,ref,0.04251968503937008,95.74803149606299,64.29922491914749,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],64.2980940862758,[963.81764719  28.2770591  203.63778471  33.52948316],56.52260395821804,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],56.52236214771478,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1304,SCI05,5,SCI05_8_5,5,8,5,51.52032695,HEVC-SCC,ezocr,ref,0.06771653543307087,93.22834645669292,61.78706421746631,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],61.78377885225541,[963.81764719  28.2770591  203.63778471  33.52948316],53.563768993421036,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],53.56373755728513,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1305,SCI06,6,SCI06_8_1,6,8,1,74.61938227,HEVC-SCC,ezocr,ref,0.0,100.0,68.95056267093071,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],68.95653284038998,[963.81764719  28.2770591  203.63778471  33.52948316],62.414175619482194,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],62.4131148101122,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1306,SCI06,6,SCI06_8_2,6,8,2,69.00989488,HEVC-SCC,ezocr,ref,0.005765534913516977,99.42344650864831,68.28797712285962,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],68.29267581950786,[963.81764719  28.2770591  203.63778471  33.52948316],61.542483822668146,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],61.54157987962964,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1307,SCI06,6,SCI06_8_3,6,8,3,59.52714673,HEVC-SCC,ezocr,ref,0.010890454836643177,98.91095451633568,67.70762237731378,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],67.71128008584377,[963.81764719  28.2770591  203.63778471  33.52948316],60.78778080760685,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],60.787002389041135,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1308,SCI06,6,SCI06_8_4,6,8,4,53.09442816,HEVC-SCC,ezocr,ref,0.004484304932735426,99.55156950672645,68.43432748296061,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],68.43929936952982,[963.81764719  28.2770591  203.63778471  33.52948316],61.734099694958786,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],61.73316236777823,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1309,SCI06,6,SCI06_8_5,6,8,5,39.45623858,HEVC-SCC,ezocr,ref,0.04163997437540039,95.83600256245997,64.39010514975394,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],64.3890734894261,[963.81764719  28.2770591  203.63778471  33.52948316],56.63259904517918,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],56.63234695297668,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1310,SCI07,7,SCI07_8_1,7,8,1,72.72312733,HEVC-SCC,ezocr,ref,0.0,100.0,68.95056267093071,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],68.95653284038998,[963.81764719  28.2770591  203.63778471  33.52948316],62.414175619482194,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],62.4131148101122,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1311,SCI07,7,SCI07_8_2,7,8,2,70.09443092,HEVC-SCC,ezocr,ref,0.008633093525179856,99.13669064748201,67.96225811775719,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],67.96636426703411,[963.81764719  28.2770591  203.63778471  33.52948316],61.11789932415104,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],61.11706716530277,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
